A7N25S  	004	TUE	WRG	WRANGELL            	0800	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	004	TUE	464	SCENIC CRUISING SUMN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	000	TUE	YVR	VANCOUVER           	0000	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	004	SAT	467	TRANSIT DECISION PAS	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	005	SUN	GB1	GLACIER BAY         	1000	2000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	006	MON	477	SCENIC CRUISING TRAC	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	007	TUE	SE1	SEDUCTION POINT     	0500	0530	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	007	TUE	HNS	HAINES              	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	008	WED	JNU	JUNEAU              	0800	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	009	THU	SIT	SITKA               	1000	1900	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	010	FRI	***	AT SEA              	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	011	SAT	SEW	SEWARD              	0700	2000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	011	SAT	483	SCENIC CRUISING RESU	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	000	TUE	466	TRANSIT THE SEYMOUR 	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	012	SUN	482	SCENIC CRUISING HOLG	0700	1100	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	012	SUN	473	SCENIC CRUISING AIAL	1200	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	012	SUN	472	SCENIC CRUISING CHIS	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	012	SUN	471	SCENIC CRUISING KENA	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	013	MON	***	AT SEA              	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	014	TUE	IN2	INIAN ISLANDS       	0430	1030	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	014	TUE	IS1	ICY STRAIT POINT    	1400	2000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	015	WED	JNU	JUNEAU              	0800	2200	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	016	THU	SE1	SEDUCTION POINT     	0500	0530	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	016	THU	HNS	HAINES              	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	001	WED	468	CRUISING THE QUEEN C	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	017	FRI	477	SCENIC CRUISING TRAC	0700	1900	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	018	SAT	SIT	SITKA               	1000	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	018	SAT	467	TRANSIT DECISION PAS	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	019	SUN	464	SCENIC CRUISING SUMN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	019	SUN	WRG	WRANGELL            	0800	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	020	MON	476	SCENIC CRUISING BEHM	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	020	MON	456	SCENIC CRUISING MIST	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	020	MON	RUD	RUDYERD BAY (MISTY F	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	021	TUE	KTN	KETCHIKAN           	0800	2200	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	022	WED	YPR	PRINCE RUPERT       	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	002	THU	KTN	KETCHIKAN           	0800	2300	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	022	WED	457	SCENIC CRUISING GREN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	022	WED	463	SCENIC CRUISING PRIN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	023	THU	YKT	KLEMTU              	0600	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	023	THU	470	SCENIC CRUISING BELL	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	024	FRI	AL4	ALERT BAY           	0600	1600	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	024	FRI	462	SCENIC CRUISING JOHN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	024	FRI	466	TRANSIT THE SEYMOUR 	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	025	SAT	YVR	VANCOUVER           	0700	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	003	FRI	RUD	RUDYERD BAY (MISTY F	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	003	FRI	456	SCENIC CRUISING MIST	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	003	FRI	476	SCENIC CRUISING BEHM	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	004	SAT	WRG	WRANGELL            	0700	1600	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25X  	004	SAT	464	SCENIC CRUISING SUMN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7S14S  	000	TUE	SEW	SEWARD              	0000	2000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	004	SAT	JNU	JUNEAU              	0800	2200	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	005	SUN	SE1	SEDUCTION POINT     	0500	0530	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	005	SUN	HNS	HAINES              	0800	1800	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	006	MON	477	SCENIC CRUISING TRAC	0700	1900	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	007	TUE	SIT	SITKA               	1000	1800	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	007	TUE	467	TRANSIT DECISION PAS	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	008	WED	464	SCENIC CRUISING SUMN	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	008	WED	WRG	WRANGELL            	0800	1700	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	009	THU	476	SCENIC CRUISING BEHM	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	009	THU	456	SCENIC CRUISING MIST	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	000	TUE	483	SCENIC CRUISING RESU	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	009	THU	RUD	RUDYERD BAY (MISTY F	0800	1800	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	010	FRI	KTN	KETCHIKAN           	0800	2200	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	011	SAT	YPR	PRINCE RUPERT       	0800	1800	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	011	SAT	457	SCENIC CRUISING GREN	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
A7S14S  	011	SAT	463	SCENIC CRUISING PRIN	0000	0000	14-DAY ULTIMATE GLACIER & FJORD ADVENTURE                                      	20170731
