A7L14Y  	014	MON	SEA	SEATTLE             	0700	0000	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	001	TUE	273	VANCOUVER ISLAND CRU	0000	0000	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	002	WED	KTN	KETCHIKAN           	0800	1700	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	003	THU	TA1	SCENIC CRUISING TRAC	1200	1700	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	004	FRI	JNU	JUNEAU              	0800	2200	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	005	SAT	IS1	ICY STRAIT POINT    	0700	1400	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	006	SUN	***	AT SEA              	0000	0000	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	007	MON	ANC	ANCHORAGE           	0800	2300	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	008	TUE	HOM	HOMER               	1000	1800	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7N07A  	000	SUN	YVR	VANCOUVER           	0000	1630	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	001	MON	270	SCENIC CRUISING THE 	0000	0000	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	002	TUE	KTN	KETCHIKAN           	0700	1500	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	003	WED	JNU	JUNEAU              	1000	2200	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	004	THU	SGY	SKAGWAY             	0700	2100	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	005	FRI	GB1	GLACIER BAY         	0700	1600	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	006	SAT	***	AT SEA              	0000	0000	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07A  	007	SUN	SEW	SEWARD              	0600	0000	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	000	SUN	YVR	VANCOUVER           	0000	1630	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	001	MON	270	SCENIC CRUISING THE 	0000	0000	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	002	TUE	KTN	KETCHIKAN           	0700	1500	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	003	WED	JNU	JUNEAU              	1000	2200	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	004	THU	SGY	SKAGWAY             	0700	2100	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	005	FRI	GB1	GLACIER BAY         	0700	1600	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7N07S  	006	SAT	***	AT SEA              	0000	0000	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
